doc_type_present,n_present,present_gain,present_base_mae,present_final_mae,present_improved_rate,n_absent,absent_gain,gain_lift_present_minus_absent
Result Encounter Note,123,1.0022891171656036,33.182340742902056,32.18005162573646,0.6097560975609756,2716,0.4452379110596216,0.557051206105982
Outpatient Summary,248,0.9896854873966876,32.17961194438319,31.189926456986505,0.5846774193548387,2591,0.4195699447992756,0.570115542597412
Nursing Note,315,0.9523885757459782,33.55468882242838,32.60230024668241,0.5873015873015873,2524,0.4090908583555144,0.5432977173904638
Referral Triage Note,604,0.8864321952956338,34.69246775014511,33.80603555484948,0.5579470198675497,2235,0.3566633923448495,0.5297688029507843
Documentation Clarification,61,0.7720295388332812,30.804617734815253,30.03258819598197,0.6229508196721312,2778,0.4627263952413504,0.3093031435919308
Consults - Outpatient,1815,0.6712079207755851,33.41821448249922,32.74700656172364,0.5548209366391185,1024,0.1116263199625143,0.5595816008130708
Patient Instructions,512,0.6293416726236007,29.873520103096965,29.24417843047336,0.55078125,2327,0.4341748136940343,0.19516685892956642
Procedures,330,0.5938052504783045,29.14807475581313,28.55426950533483,0.5515151515151515,2509,0.453005976560965,0.14079927391733948
Letter,41,0.5709283933396411,24.82597364100014,24.2550452476605,0.5609756097560976,2798,0.46788408281714655,0.10304431052249452
ED Provider Notes,336,0.5602967959461432,30.383728522346132,29.823431726399992,0.5505952380952381,2503,0.4571666018423481,0.10313019410379515
Brief Op Note,80,0.5569473618227425,21.584977493286132,21.02803013146339,0.5375,2759,0.46683288833036685,0.09011447349237567
Laboratory report,507,0.5547496037640458,34.708303785606255,34.1535541818422,0.5384615384615384,2332,0.45081032536060484,0.10393927840344097
Telephone Encounter,2372,0.5412847162110391,32.565960394391325,32.02467567818029,0.5430016863406408,467,0.10411216487519656,0.43717255133584254
Diagnostic imaging study,2779,0.4804997088016981,32.09830257049264,31.61780286169094,0.5350845627923714,60,-0.04601604851029043,0.5265157573119885
Progress Notes,2326,0.47057887807282617,31.87105567945249,31.400476801379664,0.5365434221840069,513,0.4639010866508925,0.006677791421933643
Sedation Note,148,0.4539656701913989,32.662457966160126,32.20849229596873,0.5337837837837838,2691,0.4702195498554345,-0.01625387966403563
Research Note,317,0.45005849895833566,31.5251010678168,31.07504256885846,0.5205047318611987,2522,0.47179983492446836,-0.021741335966132702
Addendum Note,1055,0.4249622441528025,33.705592900136075,33.280630655983266,0.5165876777251185,1784,0.49563484319960477,-0.07067259904680229
Nursing Update,124,0.409477453427782,26.42858937171198,26.0191119182842,0.5080645161290323,2715,0.4721077435080135,-0.06263029008023147
ED Triage Notes,136,0.3918579352355867,24.553955336178053,24.162097400942464,0.5441176470588235,2703,0.47327230804930137,-0.08141437281371466
H&P,570,0.38772906936253626,31.275503560785666,30.887774491423126,0.5280701754385965,2269,0.489881956065516,-0.10215288670297973
Note,1007,0.3635345338883902,32.12895846437911,31.765423930490716,0.5332671300893744,1832,0.5275482817814916,-0.1640137478931014
Op Note,135,0.2887185352221976,23.41482151455349,23.126102979331293,0.5555555555555556,2704,0.47839154053043814,-0.18967300530824055
Consults,534,0.28228789253693415,30.019554181759723,29.73726628922279,0.5243445692883895,2305,0.5127140968479734,-0.23042620431103927
Plan of Care,467,0.2569872119597245,31.488420974927493,31.231433762967768,0.5032119914346895,2372,0.5111866356931324,-0.25419942373340787
Assessment & Plan Note,269,0.24906309862833653,28.10839944860749,27.859336349979152,0.5390334572490706,2570,0.49243181101878564,-0.2433687123904491
Anesthesia Preprocedure Evaluation,280,0.11049933526517677,28.623532502310614,28.51303316704544,0.48928571428571427,2559,0.5086392786147135,-0.39813994334953673
ED Procedure Note,77,0.036760909212986574,30.161229418469713,30.124468509256733,0.4805194805194805,2762,0.48143270740039884,-0.44467179818741226
ED Notes,91,-0.07763065240127598,29.336100727123213,29.413731379524492,0.4835164835164835,2748,0.48748621441696427,-0.5651168668182402
Anesthesia Procedure Notes,122,-0.15215889212350306,26.001589265416882,26.15374815754038,0.4672131147540984,2717,0.4972804978610117,-0.6494393899845148
Transfer Note,63,-0.20480553693927517,32.3052016243102,32.51000716124948,0.4444444444444444,2776,0.484672361915157,-0.6894778988544321
