feature,pls_component,block,coef,mean_contribution_minutes,mean_abs_contribution_minutes,p90_abs_contribution_minutes,positive_rate
diff_07,7,diff,-0.5518940687179565,0.036006323993206024,0.7050650715827942,1.4553580284118652,0.4984149348362099
diff_26,26,diff,-0.5369650721549988,0.01577264815568924,0.6314815282821655,1.3015074729919434,0.510743219443466
diff_13,13,diff,-0.4972110092639923,-0.003900340525433421,0.5807617902755737,1.2419923543930054,0.4984149348362099
diff_17,17,diff,0.4853832423686981,-0.1595194935798645,0.5781136155128479,1.2279961109161377,0.4181049665375132
diff_12,12,diff,0.4418153166770935,-0.02994866855442524,0.5457034707069397,1.1486315727233887,0.4508629799225079
diff_02,2,diff,-0.4163200259208679,-0.07540778815746307,0.5094343423843384,1.0621205568313599,0.4452271926734766
diff_16,16,diff,-0.3868844509124756,-0.37731361389160156,0.49720653891563416,1.0335575342178345,0.22226135963367383
diff_09,9,diff,0.38045522570610046,-0.05878189578652382,0.47150129079818726,0.9786439538002014,0.4550898203592814
absdiff_12,12,absdiff,0.36177101731300354,0.029927276074886322,0.4356239140033722,0.7927473187446594,0.42831983092638254
diff_08,8,diff,0.381330281496048,0.0270049050450325,0.4343833923339844,0.9339123368263245,0.5089820359281437
absdiff_14,14,absdiff,-0.36770808696746826,-0.019807638600468636,0.4273899495601654,0.7724888324737549,0.5755547728073265
absdiff_24,24,absdiff,-0.3325972855091095,-0.0852799192070961,0.41697949171066284,0.8793542981147766,0.5315251849242691
diff_21,21,diff,-0.3497348725795746,-0.03270462900400162,0.3870288133621216,0.7905178070068359,0.45227192673476574
absdiff_09,9,absdiff,-0.30216145515441895,-0.014208913780748844,0.36742380261421204,0.6586102247238159,0.5776681930257133
absdiff_13,13,absdiff,0.2960764765739441,-0.002931006718426943,0.3332850933074951,0.6004599928855896,0.402606551602677
diff_11,11,diff,0.2852945327758789,-0.027804045006632805,0.3267364799976349,0.6815047860145569,0.46107784431137727
diff_03,3,diff,-0.2773527204990387,0.08683396130800247,0.32288309931755066,0.6805991530418396,0.5699189855582951
diff_19,19,diff,0.2530224919319153,0.06520465761423111,0.304412305355072,0.644357442855835,0.5695667488552307
diff_06,6,diff,-0.2692374885082245,-0.03461190685629845,0.2944968640804291,0.602666974067688,0.40648115533638607
absdiff_21,21,absdiff,-0.28104543685913086,0.014952288009226322,0.2908850610256195,0.4740627408027649,0.618879887284255
absdiff_05,5,absdiff,-0.2615390121936798,0.016664113849401474,0.2841626703739166,0.45609694719314575,0.6157097569566748
absdiff_19,19,absdiff,0.24062657356262207,0.01142977736890316,0.28178972005844116,0.5054497718811035,0.4117647058823529
diff_04,4,diff,0.24721494317054749,-0.038550425320863724,0.2801675796508789,0.5759439468383789,0.43747798520605846
product_07,7,product,0.29363855719566345,-0.03788686916232109,0.27999386191368103,0.54074627161026,0.27051778795350473
diff_23,23,diff,-0.2381860613822937,-0.04228590428829193,0.2797505557537079,0.5820488929748535,0.46354350123282845
absdiff_08,8,absdiff,0.24347642064094543,-0.002854901133105159,0.2740914225578308,0.4713444709777832,0.3825290595280028
diff_01,1,diff,-0.22264400124549866,0.02979227714240551,0.25022226572036743,0.5647825598716736,0.45755547728073265
absdiff_07,7,absdiff,0.1763436645269394,0.01711692474782467,0.22218486666679382,0.40446823835372925,0.43148996125396266
absdiff_01,1,absdiff,-0.1849069595336914,-0.014252894558012486,0.20359273254871368,0.37472447752952576,0.6297992250792532
absdiff_18,18,absdiff,-0.19992877542972565,0.03912879526615143,0.20231203734874725,0.33242544531822205,0.6484677703416696
diff_24,24,diff,-0.14489294588565826,0.103902667760849,0.1942748874425888,0.42033472657203674,0.700951039098274
product_11,11,product,0.21947719156742096,-0.03574594482779503,0.19339720904827118,0.3674710690975189,0.25783726664318424
product_16,16,product,0.24364784359931946,-0.057776644825935364,0.18842126429080963,0.3882688581943512,0.23388517083480098
product_09,9,product,-0.19462722539901733,0.02340085059404373,0.17571642994880676,0.3142585754394531,0.7206762944698838
absdiff_17,17,absdiff,-0.14546960592269897,0.0005710352561436594,0.17054864764213562,0.3047090172767639,0.5917576611482916
absdiff_04,4,absdiff,-0.14302660524845123,0.025626815855503082,0.1672833412885666,0.29078444838523865,0.6192321239873195
product_22,22,product,0.1900653839111328,-0.02640100009739399,0.1663607954978943,0.3696211576461792,0.3148996125396266
absdiff_03,3,absdiff,0.14172549545764923,-0.010920084081590176,0.16621996462345123,0.28238317370414734,0.38992603029235645
product_02,2,product,-0.18065272271633148,0.0032900655642151833,0.16530655324459076,0.2643586993217468,0.6769989432898909
