primary_procedure_name,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
PPM TEMPORARY PERMANENT INSERTION - SINGLE,64,14.44624536037445,12.4832386333328,1.963006727041651,2.3837608683023035,0.71875,0.28125,0.0,0.0,74.515625,-6.3458211660385135,-3.23092181506635,4.120161945106116,0.78125
ICD LEAD REVISION - RV,13,32.29434720552884,30.353106058602087,1.9412411469267545,0.8070971709576042,0.6153846153846154,0.38461538461538464,0.0,0.0,174.0,23.846587900015024,2.38244762151003,3.494464662674403,0.6153846153846154
EXTRACTION - INTERMEDIATE RISK,13,37.67184260441707,35.8311979267237,1.8406446776933676,-0.46378945886226575,0.46153846153846156,0.5384615384615384,0.0,0.0,241.07692307692307,-5.390700589693505,-1.5416652928779644,3.377726512042312,0.46153846153846156
PPM IMPLANT - LEADLESS,48,25.625647226969402,23.841536311168976,1.7841109158004285,2.516643561712229,0.7291666666666666,0.2708333333333333,0.0,0.0,129.4375,-13.017200215657548,-2.2827293825746247,3.259680107027066,0.7708333333333334
ABLATION - ATRIAL FLUTTER - RIGHT,39,43.686478326259525,41.9191648677852,1.767313458474322,2.299081500163993,0.6666666666666666,0.3333333333333333,0.02564102564102564,0.0,193.84615384615384,-10.169952666453824,-3.7872919462649546,4.45488142534067,0.717948717948718
Cardioneural Ablation,40,32.785661697387695,31.23295065954543,1.5527110378422655,2.7875598776254265,0.6,0.4,0.05,0.025,223.65,-15.39008750915528,-5.933032238176778,6.296994439296973,0.65
ABLATION - PVI,672,34.45042449860346,33.19150367700539,1.2589208215980687,1.6573810774001885,0.6101190476190477,0.3898809523809524,0.028273809523809524,0.005952380952380952,217.39583333333334,-10.504081576211112,-3.7666154408816532,4.355127133013395,0.6398809523809523
PPM IMPLANT - AV LEADLESS,23,37.07192979895551,35.938802591122844,1.1331272078326626,0.49005513965221326,0.5217391304347826,0.4782608695652174,0.0,0.0,125.95652173913044,-0.10801258916439933,-1.9632368302518104,3.1787234660560624,0.5217391304347826
PERMANENT TEMPORARY LEAD REMOVAL,11,13.231021673029119,12.16062606026375,1.0703956127653702,0.20450330554576368,0.6363636363636364,0.36363636363636365,0.0,0.0,26.09090909090909,-13.231021673029119,-1.705227954433222,2.2716116837440627,0.7272727272727273
ABLATION - ATRIAL FLUTTER - LEFT,21,41.02816946847099,39.959199595764815,1.06896987270618,3.261114047178296,0.5714285714285714,0.42857142857142855,0.0,0.0,269.6666666666667,-12.04071713402158,-2.4872153351050366,3.7662822237148115,0.5714285714285714
