variant,train_oof_mae,final_train_oof_mae,heldout_mae,final_heldout_mae,heldout_gain_vs_final,improved_rate_vs_final,mean_prediction_shift_vs_final,meta_json
risk3_x_pls_gap_gamma_positive,32.76810082989888,32.796417788517424,31.700690614601047,31.77026365632957,0.06957304172852058,0.4906657273687918,-0.9939162873544776,"{""gammas"": {""__GLOBAL__"": 1.0, ""risk_0|pls_higher"": 0.7000000000000001, ""risk_0|pls_lower"": 0.0, ""risk_0|pls_near"": 0.775, ""risk_1|pls_higher"": 1.375, ""risk_1|pls_lower"": 0.5750000000000001, ""risk_1|pls_much_higher"": 1.25, ""risk_1|pls_near"": 1.425, ""risk_2|pls_higher"": 2.5, ""risk_2|pls_lower"": 0.9750000000000001, ""risk_2|pls_much_higher"": 2.5, ""risk_2|pls_near"": 1.4000000000000001}, ""min_n"": 100, ""n_gammas"": 12, ""risk_oof_corr_abs_error"": 0.4545378570140534}"
risk3_x_pls_gap_gamma_signed,32.76853157447295,32.796417788517424,31.70098783432335,31.77026365632957,0.06927582200621826,0.4941880943994364,-0.9949002413956675,"{""gammas"": {""__GLOBAL__"": 1.0000000000000018, ""risk_0|pls_higher"": 0.7000000000000015, ""risk_0|pls_lower"": -0.024999999999999134, ""risk_0|pls_near"": 0.7750000000000016, ""risk_1|pls_higher"": 1.3750000000000022, ""risk_1|pls_lower"": 0.5750000000000014, ""risk_1|pls_much_higher"": 1.250000000000002, ""risk_1|pls_near"": 1.425000000000002, ""risk_2|pls_higher"": 2.500000000000003, ""risk_2|pls_lower"": 0.9750000000000018, ""risk_2|pls_much_higher"": 2.500000000000003, ""risk_2|pls_near"": 1.4000000000000021}, ""min_n"": 100, ""n_gammas"": 12, ""risk_oof_corr_abs_error"": 0.4545378570140534}"
procedure_family_gamma_positive,32.76927961993881,32.796417788517424,31.607522369553593,31.77026365632957,0.16274128677597588,0.5132088763649172,-0.6686322274937989,"{""gammas"": {""AF/PVI ablation"": 1.7000000000000002, ""Device implant"": 0.775, ""Device revision-generator-upgrade"": 0.775, ""Diagnostic/testing"": 0.30000000000000004, ""LAA closure"": 1.0, ""Lead/device extraction-removal"": 1.5250000000000001, ""Other"": 0.275, ""Other ablation"": 1.0250000000000001, ""VT/PVC ablation"": 2.5, ""__GLOBAL__"": 1.0}, ""n_gammas"": 10}"
procedure_family_gamma_signed,32.76927961993881,32.796417788517424,31.607522369553593,31.77026365632957,0.16274128677597588,0.5146178231771751,-0.6686322274938024,"{""gammas"": {""AF/PVI ablation"": 1.7000000000000024, ""Device implant"": 0.7750000000000016, ""Device revision-generator-upgrade"": 0.7750000000000016, ""Diagnostic/testing"": 0.30000000000000115, ""LAA closure"": 1.0000000000000018, ""Lead/device extraction-removal"": 1.5250000000000021, ""Other"": 0.27500000000000113, ""Other ablation"": 1.0250000000000017, ""VT/PVC ablation"": 2.500000000000003, ""__GLOBAL__"": 1.0000000000000018}, ""n_gammas"": 10}"
risk4_x_family_gamma_positive,32.77008145938125,32.796417788517424,31.65525362048883,31.77026365632957,0.11501003584074412,0.45156745332863685,-0.6014326946901853,"{""gammas"": {""__GLOBAL__"": 1.0, ""risk_0|AF/PVI ablation"": 0.05, ""risk_0|Device implant"": 0.5, ""risk_0|Device revision-generator-upgrade"": 0.75, ""risk_0|Diagnostic/testing"": 0.1, ""risk_0|Other"": 0.30000000000000004, ""risk_0|Other ablation"": 1.1, ""risk_1|AF/PVI ablation"": 1.725, ""risk_1|Device implant"": 0.875, ""risk_1|Device revision-generator-upgrade"": 0.8250000000000001, ""risk_1|Diagnostic/testing"": 0.0, ""risk_1|Other ablation"": 0.0, ""risk_2|AF/PVI ablation"": 1.625, ""risk_2|Device implant"": 1.0, ""risk_2|Device revision-generator-upgrade"": 1.9000000000000001, ""risk_2|Diagnostic/testing"": 1.75, ""risk_2|Other ablation"": 1.375, ""risk_2|VT/PVC ablation"": 2.5, ""risk_3|AF/PVI ablation"": 2.5, ""risk_3|Device implant"": 0.0, ""risk_3|Device revision-generator-upgrade"": 0.0, ""risk_3|Lead/device extraction-removal"": 1.7750000000000001, ""risk_3|Other ablation"": 1.225, ""risk_3|VT/PVC ablation"": 2.5}, ""min_n"": 120, ""n_gammas"": 24, ""risk_oof_corr_abs_error"": 0.45410026338260967}"
risk3_gamma_signed,32.776097189912996,32.796417788517424,31.7128149631131,31.77026365632957,0.05744869321646393,0.5040507220852413,-0.3367246883538967,"{""gammas"": {""__GLOBAL__"": 1.0000000000000018, ""risk_0"": 0.6000000000000014, ""risk_1"": 1.175000000000002, ""risk_2"": 1.8000000000000025}, ""min_n"": 80, ""n_gammas"": 4, ""risk_oof_corr_abs_error"": 0.4545378570140534}"
risk3_gamma_positive,32.776097189912996,32.796417788517424,31.7128149631131,31.77026365632957,0.05744869321646383,0.5040507220852413,-0.3367246883538924,"{""gammas"": {""__GLOBAL__"": 1.0, ""risk_0"": 0.6000000000000001, ""risk_1"": 1.175, ""risk_2"": 1.8}, ""min_n"": 80, ""n_gammas"": 4, ""risk_oof_corr_abs_error"": 0.4545378570140534}"
risk4_x_family_gamma_signed,32.7769563580236,32.796417788517424,31.68618215032331,31.77026365632957,0.0840815060062581,0.45649876717153925,-0.59725704947933,"{""gammas"": {""__GLOBAL__"": 1.0000000000000018, ""risk_0|AF/PVI ablation"": 0.05000000000000093, ""risk_0|Device implant"": 0.5000000000000013, ""risk_0|Device revision-generator-upgrade"": 0.7500000000000016, ""risk_0|Diagnostic/testing"": 0.10000000000000098, ""risk_0|Other"": 0.30000000000000115, ""risk_0|Other ablation"": 1.1000000000000019, ""risk_1|AF/PVI ablation"": 1.7250000000000023, ""risk_1|Device implant"": 0.8750000000000017, ""risk_1|Device revision-generator-upgrade"": 0.8250000000000016, ""risk_1|Diagnostic/testing"": -0.3499999999999994, ""risk_1|Other ablation"": -0.1999999999999993, ""risk_2|AF/PVI ablation"": 1.6250000000000022, ""risk_2|Device implant"": 1.0000000000000018, ""risk_2|Device revision-generator-upgrade"": 1.9000000000000026, ""risk_2|Diagnostic/testing"": 1.7500000000000024, ""risk_2|Other ablation"": 1.3750000000000022, ""risk_2|VT/PVC ablation"": 2.500000000000003, ""risk_3|AF/PVI ablation"": 2.500000000000003, ""risk_3|Device implant"": -0.3249999999999994, ""risk_3|Device revision-generator-upgrade"": -1.0, ""risk_3|Lead/device extraction-removal"": 1.7750000000000026, ""risk_3|Other ablation"": 1.2250000000000019, ""risk_3|VT/PVC ablation"": 2.500000000000003}, ""min_n"": 120, ""n_gammas"": 24, ""risk_oof_corr_abs_error"": 0.45410026338260967}"
risk4_x_sched_gamma_positive,32.77892669807164,32.796417788517424,31.761736902849893,31.77026365632957,0.00852675347967249,0.4941880943994364,-0.5102423265623562,"{""gammas"": {""__GLOBAL__"": 1.0, ""risk_0|150-209"": 0.275, ""risk_0|90-149"": 0.325, ""risk_0|<90"": 0.65, ""risk_1|150-209"": 1.75, ""risk_1|210-299"": 1.5, ""risk_1|90-149"": 0.375, ""risk_1|<90"": 1.5250000000000001, ""risk_2|150-209"": 1.0250000000000001, ""risk_2|210-299"": 1.4000000000000001, ""risk_2|300-419"": 1.9000000000000001, ""risk_2|90-149"": 1.85, ""risk_2|<90"": 1.675, ""risk_3|150-209"": 0.0, ""risk_3|210-299"": 2.225, ""risk_3|300-419"": 2.5, ""risk_3|420+"": 2.5, ""risk_3|90-149"": 0.0}, ""min_n"": 120, ""n_gammas"": 18, ""risk_oof_corr_abs_error"": 0.45410026338260967}"
pls_gap_bin_gamma_positive,32.7804188598266,32.796417788517424,31.756140720945712,31.77026365632957,0.01412293538385613,0.5086297992250792,-0.34845877881494675,"{""gammas"": {""__GLOBAL__"": 1.0, ""pls_higher"": 1.125, ""pls_lower"": 0.42500000000000004, ""pls_much_higher"": 1.25, ""pls_much_lower"": 0.0, ""pls_near"": 1.05}, ""n_gammas"": 6}"
