variant,model,selected_gamma,selected_train_oof_mae,base_train_oof_mae,MAE,RMSE,R2,MedianAbsError,P90AbsError,P95AbsError,W30,W60,MeanError_pred_minus_actual,UnderestimationRate,OverestimationRate,N,gain_vs_base,gain_vs_base_CI95,MAE_CI95,delta_vs_32_0288,delta_vs_old_32_291,meta_json
pls_tab_note_24,sgd_huber,1.475,32.78045937850403,32.966712482938256,31.794665987908562,47.04256108825655,0.7541998774445827,21.475173713654954,68.95146325939339,94.06422065942233,0.6164142303628038,0.8619232123987319,-2.841448709842876,0.484677703416696,0.515322296583304,2839,0.4449698867546796,"[0.31365994877940667, 0.5937502023728869]","[30.642477695308077, 33.00952801720045]",-0.23416501209143448,-0.4963340120914346,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.8011375775092}"
cca_tab_note_24,huber,0.675,32.80269540997288,32.966712482938256,31.832881845411027,46.963276068540964,0.7550277169352728,21.514939648015712,69.01680874964566,93.07591645269108,0.618879887284255,0.8605142655864741,-1.3845027053281294,0.46882705177879536,0.5311729482212046,2839,0.40675402925221693,"[0.3033878768940775, 0.5317615257721003]","[30.57389970304288, 33.08804087346566]",-0.19594915458896978,-0.4581181545889699,"{""model"": ""huber"", ""residual_oof_mae"": 32.84114454785982}"
cca_tab_note_40,huber,0.65,32.780755969490365,32.966712482938256,31.875927123517716,46.9570557219811,0.7550926064280985,21.60983249606369,68.89249018645631,92.33884881765934,0.6171187037689327,0.8584008453680874,-1.2582056499905345,0.46671363156040857,0.5332863684395914,2839,0.36370875114552975,"[0.24080734220951489, 0.4871539958470666]","[30.5765033434588, 33.27618370826259]",-0.15290387648228077,-0.41507287648228086,"{""model"": ""huber"", ""residual_oof_mae"": 32.84878831405835}"
pls_tab_note_40,huber,0.625,32.79958967575005,32.966712482938256,31.886732977804794,47.021111826540476,0.7544239736284706,21.46639243713132,68.97555777542301,93.15366864130763,0.618879887284255,0.8598097921803451,-1.6846046725691919,0.4702359985910532,0.5297640014089469,2839,0.35290289685844894,"[0.22153056910810318, 0.49074599093648386]","[30.622300516121193, 33.18696076851396]",-0.14209802219520284,-0.40426702219520294,"{""model"": ""huber"", ""residual_oof_mae"": 32.87213002243567}"
hs_word96_currentish,sgd_huber,1.35,32.7901390389728,32.966712482938256,31.91014688989084,47.11467867088135,0.7534456626289179,21.583976712809402,69.03902256309178,92.35004603834305,0.6167664670658682,0.8619232123987319,-2.132452453645826,0.4804508629799225,0.5195491370200775,2839,0.32948898477240585,"[0.18934872458994875, 0.4790595599702649]","[30.61264786135139, 33.34632610075571]",-0.11868411010915736,-0.38085311010915746,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80286320143687}"
cca_tab_note_12,huber,0.775,32.84590576465293,32.966712482938256,31.952144621412444,47.22358812668443,0.7523044839183767,21.54537452574064,68.82032019557312,93.21005838695187,0.6178231771750616,0.8587530820711519,-1.9317385791173851,0.4734061289186333,0.5265938710813667,2839,0.28749125325079716,"[0.18046484239923, 0.3922882678264272]","[30.653810492770823, 33.28909242488488]",-0.0766863785875529,-0.338855378587553,"{""model"": ""huber"", ""residual_oof_mae"": 32.855657475787666}"
pls_tab_note_12,sgd_huber,1.6,32.83629710119146,32.966712482938256,31.952146803980032,47.22860306733359,0.752251872741697,21.555951867581797,69.4313704247461,93.029109625338,0.618879887284255,0.8584008453680874,-1.9892567816213511,0.47411060232476226,0.5258893976752378,2839,0.2874890706832118,"[0.18039231630386754, 0.3881039342634147]","[30.815065095200904, 33.224751068350734]",-0.0766841960199649,-0.338853196019965,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.85975791266366}"
hs_word160_plus_raw_word160,sgd_huber,0.8,32.787389563920215,32.966712482938256,31.978210254969817,47.09137199811647,0.7536895331218489,21.564005990312523,68.90118355481985,92.58625909300052,0.615005283550546,0.8584008453680874,-1.3104160297372214,0.46072560760831277,0.5392743923916872,2839,0.26142561969342826,"[0.132180646375232, 0.39498931818610783]","[30.6958530639351, 33.22921310242604]",-0.0506207450301801,-0.3127897450301802,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.79659797050338}"
hs_word160_word13,sgd_huber,1.0250000000000001,32.82301008042067,32.966712482938256,31.986391642351386,47.150826689783294,0.7530671873821293,21.513311035929377,69.08425659686223,93.37562602773446,0.6157097569566748,0.8601620288834096,-1.6519789959678555,0.4691792884818598,0.5308207115181401,2839,0.25324423231185966,"[0.12572762915017197, 0.36260855860941554]","[30.672334407230295, 33.28996576025695]",-0.042439357648611065,-0.30460835764861116,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.823015416774446}"
raw_word160_word12,sgd_huber,1.175,32.774523239011025,32.966712482938256,31.986630193311044,47.13194691687478,0.753264897682663,21.71184749234716,68.62371564756849,93.4171094204088,0.6139485734413526,0.8601620288834096,-1.7099947238914013,0.4712927087002466,0.5287072912997535,2839,0.2530056813521988,"[0.14435703402310315, 0.38616868998511766]","[30.708457042936736, 33.32086828478614]",-0.04220080668895321,-0.3043698066889533,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.778681302515444}"
