variant,model,selected_gamma,selected_train_oof_mae,base_train_oof_mae,MAE,RMSE,R2,MedianAbsError,P90AbsError,P95AbsError,W30,W60,MeanError_pred_minus_actual,UnderestimationRate,OverestimationRate,N,gain_vs_base,gain_vs_base_CI95,MAE_CI95,delta_vs_31_794666,delta_vs_32_028831,meta_json
pls_raw_word160_26_delta,sgd_huber,1.55,32.796417788517424,32.966712482938256,31.77026365632957,47.08623013872459,0.7537433189679652,21.396960248342452,69.8267318236742,93.22940532588267,0.6220500176118352,0.8622754491017964,-2.854216200852376,0.48256428319830924,0.5174357168016908,2839,0.4693722183336741,"[0.33575435657269637, 0.6065614085107865]","[30.613918432512193, 33.04925533135617]",-0.024402343670431037,-0.25856734367042833,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.81965832259389}"
cca_hs_word160_32_basic,huber,0.675,32.80115072953489,32.966712482938256,31.771357739092355,46.85548646171165,0.756150941953309,21.47806930133558,69.35221865393238,92.51202977387632,0.6202888340965128,0.8605142655864741,-1.1210745140724931,0.45966889749911943,0.5403311025008806,2839,0.4682781355708882,"[0.35005991823080246, 0.6035839172957852]","[30.293603377848434, 32.97068551407364]",-0.02330826090764404,-0.25747326090764133,"{""model"": ""huber"", ""residual_oof_mae"": 32.85588885699013}"
pls_raw_word160_28_delta,sgd_huber,1.475,32.80629189375935,32.966712482938256,31.77953078007122,47.014753798097196,0.754490380982015,21.341015036439444,69.70206121686655,92.36801703927073,0.6181754138781261,0.8622754491017964,-2.2967659900327906,0.4751673124339556,0.5248326875660444,2839,0.46010509459202054,"[0.3175657876875359, 0.6101122488185553]","[30.568028556366436, 33.04862302434772]",-0.015135219928779975,-0.24930021992877727,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.82280797473231}"
pls_raw_word160_24_delta,sgd_huber,1.5750000000000002,32.80694891752665,32.966712482938256,31.78536446197558,47.10290576004922,0.7535688641302605,21.35552173176454,69.82190036225892,93.41738688150095,0.623458964424093,0.8622754491017964,-2.8099367494690184,0.4822120464952448,0.5177879535047551,2839,0.45427141268765936,"[0.31629671079145405, 0.5848611060729736]","[30.623442359952424, 33.05921234515057]",-0.009301538024420353,-0.24346653802441764,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.829512607892326}"
pls_raw_word160_26_geom,sgd_huber,1.175,32.805279154451945,32.966712482938256,31.790984307511092,47.060334362847044,0.7540141095679431,21.269014959707192,69.33265486575603,93.33408332146644,0.6224022543148996,0.8601620288834096,-2.376564174331169,0.4811553363860514,0.5188446636139485,2839,0.4486515671521516,"[0.3097302512616915, 0.5709909525553034]","[30.425121798877004, 33.0614929885505]",-0.0036816924889073732,-0.23784669248890467,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80988366303034}"
pls_hs_raw_word160_18_basic,sgd_huber,1.55,32.76850637451064,32.966712482938256,31.793151133040716,46.99393901226477,0.7547077212211475,21.38789928660003,69.0916935617043,92.14672392740636,0.6192321239873195,0.8640366326171187,-2.468434874405062,0.48256428319830924,0.5174357168016908,2839,0.4464847416225288,"[0.28950365147825485, 0.5746636603250779]","[30.58892604439553, 33.35318373513254]",-0.0015148669592832675,-0.23567986695928056,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.79499859660138}"
pls_hs_raw_word160_20_basic,sgd_huber,1.5,32.77533259454124,32.966712482938256,31.798197344563246,47.00010361946695,0.7546433627204601,21.320312284751054,69.28167532642082,91.95039144225582,0.6192321239873195,0.8650933427263121,-2.44765571208399,0.4822120464952448,0.5177879535047551,2839,0.441438530099998,"[0.2987678037719053, 0.5637713742107661]","[30.52633453994901, 33.229429808652895]",0.0035313445632461082,-0.23063365543675118,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.79714232874491}"
cca_hs_word160_28_basic,huber,0.675,32.8097945727049,32.966712482938256,31.79919317859076,46.91428386400634,0.7555385617094541,21.558953473366188,69.26300529300227,92.44145016453,0.6181754138781261,0.8591053187742163,-0.9352131951154244,0.45685100387460376,0.5431489961253962,2839,0.44044269607248265,"[0.32005985336934034, 0.5359884707849701]","[30.559160597373573, 33.080651849758034]",0.004527178590759462,-0.22963782140923783,"{""model"": ""huber"", ""residual_oof_mae"": 32.86243113684534}"
pls_raw_word160_22_delta,sgd_huber,1.6,32.80695013311965,32.966712482938256,31.80024732211073,47.1080300406181,0.7535152431933279,21.406075793303046,69.6518991575609,92.99671521285866,0.623458964424093,0.8626276858048608,-2.8065940299243537,0.4839732300105671,0.5160267699894329,2839,0.43938855255250725,"[0.2812900475857713, 0.5912982721463165]","[30.418726743225644, 32.99768848458849]",0.005581322110732145,-0.22858367788926515,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.83176973366312}"
pls_raw_word160_24_geom,sgd_huber,1.225,32.81336364636633,32.966712482938256,31.804165573424125,47.069589548444625,0.7539173457446116,21.433096182471672,69.3851266355576,93.49150828016411,0.6220500176118352,0.8622754491017964,-2.3105346064020376,0.48080309968298696,0.519196900317013,2839,0.435470301239121,"[0.30621466011237547, 0.5471490573717197]","[30.526397774915218, 33.016303233694046]",0.009499573424125884,-0.2246654265758714,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.81974289645217}"
