variant,train_oof_mae,final_train_oof_mae,heldout_mae,final_heldout_mae,heldout_gain_vs_final,improved_rate_vs_final,mean_prediction_shift_vs_final,meta_json
pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00,32.75183162527293,32.796417788517424,31.60494345868472,31.77026365632957,0.16532019764484865,0.5029940119760479,-0.7603033769080991,"{""category"": ""risk_hgb4"", ""edges"": [3.1306546896811818, 16.015596179846813, 22.34145381276113, 33.03883179938389, 94.51128562149312], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.6000000000000001, ""margin"": 0.0, ""min_n"": 120, ""n_weights"": 5, ""second"": ""risk_abs_et3_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.6000000000000001, ""risk_hgb4_0"": 1.0, ""risk_hgb4_1"": 0.2, ""risk_hgb4_2"": 0.0, ""risk_hgb4_3"": 1.0}}"
pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_et3_x_family_m0.05,32.752573593488414,32.796417788517424,31.61485652411196,31.77026365632957,0.1554071322176083,0.49806269813314547,-0.7735838273807821,"{""category"": ""risk_et3_x_family"", ""edges"": [5.855353528307698, 22.857945788133193, 37.17424842738864, 111.27728156472821], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.6000000000000001, ""margin"": 0.05, ""min_n"": 120, ""n_weights"": 6, ""second"": ""risk_abs_et3_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.6000000000000001, ""risk_et3_0|AF/PVI ablation"": 0.9500000000000001, ""risk_et3_1|Diagnostic/testing"": 0.0, ""risk_et3_1|Other ablation"": 0.0, ""risk_et3_2|Diagnostic/testing"": 1.0, ""risk_et3_2|Lead/device extraction-removal"": 1.0}}"
selector_family_m0.00,32.753125404933755,32.796417788517424,31.711495888429095,31.77026365632957,0.05876776790047486,0.3800634026065516,-0.40028336333161785,"{""candidates"": [""final"", ""procedure_family_gamma_positive"", ""family_cap_gamma"", ""risk_abs_hgb4_x_family_cap_gamma"", ""risk_abs_hgb6_x_family_cap_gamma"", ""risk_abs_et3_x_family_cap_gamma"", ""risk_abs_et4_x_family_cap_gamma"", ""signed_resid_hgb8_x_family_cap_gamma""], ""category"": ""family"", ""choices"": {""AF/PVI ablation"": ""risk_abs_hgb6_x_family_cap_gamma"", ""Device implant"": ""risk_abs_et3_x_family_cap_gamma"", ""Device revision-generator-upgrade"": ""final"", ""Diagnostic/testing"": ""risk_abs_hgb6_x_family_cap_gamma"", ""LAA closure"": ""final"", ""Other"": ""risk_abs_et4_x_family_cap_gamma"", ""Other ablation"": ""signed_resid_hgb8_x_family_cap_gamma"", ""VT/PVC ablation"": ""signed_resid_hgb8_x_family_cap_gamma"", ""__GLOBAL__"": ""family_cap_gamma""}, ""edges"": [], ""global_best"": ""family_cap_gamma"", ""global_scores"": {""family_cap_gamma"": 32.75711007822889, ""final"": 32.796417788517424, ""procedure_family_gamma_positive"": 32.76927961993881, ""risk_abs_et3_x_family_cap_gamma"": 32.762548179770626, ""risk_abs_et4_x_family_cap_gamma"": 32.76843862411735, ""risk_abs_hgb4_x_family_cap_gamma"": 32.80034430755156, ""risk_abs_hgb6_x_family_cap_gamma"": 32.757342803128104, ""signed_resid_hgb8_x_family_cap_gamma"": 32.77527582224163}, ""margin"": 0.0, ""min_n"": 120, ""n_choices"": 9, ""selection"": ""strict second-level GroupKFold candidate selector""}"
pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__risk_hgb6_x_family_m0.05,32.75330156879617,32.796417788517424,31.542633306171997,31.77026365632957,0.22763035015757338,0.5213103205353998,-0.5519020630968795,"{""category"": ""risk_hgb6_x_family"", ""edges"": [3.1306546896811818, 13.524304760059952, 18.262743014291623, 22.34145381276113, 28.628432887384438, 37.880803594974736, 94.51128562149312], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.5, ""margin"": 0.05, ""min_n"": 120, ""n_weights"": 9, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.5, ""risk_hgb6_0|Diagnostic/testing"": 0.0, ""risk_hgb6_1|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_1|Diagnostic/testing"": 0.0, ""risk_hgb6_3|Device implant"": 0.0, ""risk_hgb6_3|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_3|Other ablation"": 1.0, ""risk_hgb6_4|Device implant"": 0.0, ""risk_hgb6_5|Other ablation"": 1.0}}"
pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb6_x_family_m0.05,32.75551933483893,32.796417788517424,31.612836354496693,31.77026365632957,0.15742730183287978,0.5047551954913702,-0.7542952013061753,"{""category"": ""risk_hgb6_x_family"", ""edges"": [3.1306546896811818, 13.524304760059952, 18.262743014291623, 22.34145381276113, 28.628432887384438, 37.880803594974736, 94.51128562149312], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.6000000000000001, ""margin"": 0.05, ""min_n"": 120, ""n_weights"": 10, ""second"": ""risk_abs_et3_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.6000000000000001, ""risk_hgb6_1|AF/PVI ablation"": 0.9500000000000001, ""risk_hgb6_1|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_2|AF/PVI ablation"": 0.0, ""risk_hgb6_2|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_3|Diagnostic/testing"": 0.0, ""risk_hgb6_4|Device revision-generator-upgrade"": 1.0, ""risk_hgb6_4|Other ablation"": 0.0, ""risk_hgb6_5|Lead/device extraction-removal"": 1.0, ""risk_hgb6_5|Other ablation"": 1.0}}"
family_cap_gamma,32.75711007822889,32.796417788517424,31.628807776841686,31.77026365632957,0.14145587948788804,0.5220147939415287,-0.7220186638972933,"{""min_n"": 80, ""n_params"": 10, ""params"": {""AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 1.7000000000000002}, ""Device implant"": {""cap"": 4.0, ""gamma"": 0.9500000000000001}, ""Device revision-generator-upgrade"": {""cap"": 20.0, ""gamma"": 0.8}, ""Diagnostic/testing"": {""cap"": 8.0, ""gamma"": 0.4}, ""LAA closure"": {""cap"": 4.0, ""gamma"": 1.4000000000000001}, ""Lead/device extraction-removal"": {""cap"": 4.0, ""gamma"": 2.5}, ""Other"": {""cap"": 4.0, ""gamma"": 0.5}, ""Other ablation"": {""cap"": 4.0, ""gamma"": 1.4500000000000002}, ""VT/PVC ablation"": {""cap"": 10.0, ""gamma"": 2.5}, ""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}}, ""selection"": ""outer GroupKFold category tuning""}"
risk_abs_hgb6_x_family_cap_gamma,32.757342803128104,32.796417788517424,31.71147442892803,31.77026365632957,0.05878922740153685,0.437125748502994,-0.725140378022989,"{""edges"": [1.9783292451431858, 13.549235502063468, 18.276034719712783, 22.208835826768734, 28.59227314103954, 37.73939947190062, 83.5493438276934], ""k"": 6, ""min_n"": 120, ""n_params"": 26, ""params"": {""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}, ""risk_abs_hgb6_0|Device implant"": {""cap"": 10.0, ""gamma"": 0.35000000000000003}, ""risk_abs_hgb6_0|Device revision-generator-upgrade"": {""cap"": 4.0, ""gamma"": 0.9}, ""risk_abs_hgb6_0|Diagnostic/testing"": {""cap"": 8.0, ""gamma"": 0.05}, ""risk_abs_hgb6_0|Other"": {""cap"": 10.0, ""gamma"": 0.45}, ""risk_abs_hgb6_0|Other ablation"": {""cap"": 10.0, ""gamma"": 0.9}, ""risk_abs_hgb6_1|Device implant"": {""cap"": 4.0, ""gamma"": 1.55}, ""risk_abs_hgb6_1|Device revision-generator-upgrade"": {""cap"": 10.0, ""gamma"": 0.9}, ""risk_abs_hgb6_1|Diagnostic/testing"": {""cap"": 4.0, ""gamma"": 1.1}, ""risk_abs_hgb6_1|LAA closure"": {""cap"": 4.0, ""gamma"": 1.7000000000000002}, ""risk_abs_hgb6_2|AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 2.2}, ""risk_abs_hgb6_2|Device implant"": {""cap"": 6.0, ""gamma"": 0.9500000000000001}, ""risk_abs_hgb6_2|Device revision-generator-upgrade"": {""cap"": 12.0, ""gamma"": 1.5}, ""risk_abs_hgb6_3|AF/PVI ablation"": {""cap"": 12.0, ""gamma"": 2.45}, ""risk_abs_hgb6_3|Device implant"": {""cap"": 15.0, ""gamma"": 0.8500000000000001}, ""risk_abs_hgb6_3|Device revision-generator-upgrade"": {""cap"": 20.0, ""gamma"": 1.9000000000000001}, ""risk_abs_hgb6_3|Diagnostic/testing"": {""cap"": 12.0, ""gamma"": 0.6000000000000001}, ""risk_abs_hgb6_3|Other ablation"": {""cap"": 4.0, ""gamma"": 1.4000000000000001}, ""risk_abs_hgb6_4|AF/PVI ablation"": {""cap"": 12.0, ""gamma"": 0.30000000000000004}, ""risk_abs_hgb6_4|Device implant"": {""cap"": 4.0, ""gamma"": 0.15000000000000002}, ""risk_abs_hgb6_4|Device revision-generator-upgrade"": {""cap"": 4.0, ""gamma"": 0.0}, ""risk_abs_hgb6_4|Other ablation"": {""cap"": 4.0, ""gamma"": 1.8}, ""risk_abs_hgb6_4|VT/PVC ablation"": {""cap"": 15.0, ""gamma"": 2.5}, ""risk_abs_hgb6_5|AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 2.5}, ""risk_abs_hgb6_5|Other ablation"": {""cap"": 4.0, ""gamma"": 1.9000000000000001}, ""risk_abs_hgb6_5|VT/PVC ablation"": {""cap"": 8.0, ""gamma"": 2.5}}, ""prefix"": ""risk_abs_hgb6"", ""score_full_oof_corr_target"": 0.4422417614982156, ""score_outer_corr_target"": 0.45189037198309095, ""selection"": ""strict nested score bins + outer GroupKFold category tuning""}"
pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb6_x_family_m0.00,32.75794465149941,32.796417788517424,31.6374787893698,31.77026365632957,0.13278486695976988,0.506164142303628,-0.7099736688697569,"{""category"": ""risk_hgb6_x_family"", ""edges"": [3.1306546896811818, 13.524304760059952, 18.262743014291623, 22.34145381276113, 28.628432887384438, 37.880803594974736, 94.51128562149312], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.6000000000000001, ""margin"": 0.0, ""min_n"": 120, ""n_weights"": 28, ""second"": ""risk_abs_et3_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.6000000000000001, ""risk_hgb6_0|Device implant"": 1.0, ""risk_hgb6_0|Device revision-generator-upgrade"": 1.0, ""risk_hgb6_0|Diagnostic/testing"": 1.0, ""risk_hgb6_0|Other"": 0.0, ""risk_hgb6_0|Other ablation"": 1.0, ""risk_hgb6_1|AF/PVI ablation"": 0.9500000000000001, ""risk_hgb6_1|Device implant"": 1.0, ""risk_hgb6_1|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_1|Diagnostic/testing"": 0.0, ""risk_hgb6_1|LAA closure"": 0.8, ""risk_hgb6_2|AF/PVI ablation"": 0.0, ""risk_hgb6_2|Device implant"": 1.0, ""risk_hgb6_2|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_3|AF/PVI ablation"": 1.0, ""risk_hgb6_3|Device implant"": 0.4, ""risk_hgb6_3|Device revision-generator-upgrade"": 0.0, ""risk_hgb6_3|Diagnostic/testing"": 0.0, ""risk_hgb6_3|Other ablation"": 0.15000000000000002, ""risk_hgb6_4|AF/PVI ablation"": 0.0, ""risk_hgb6_4|Device implant"": 0.0, ""risk_hgb6_4|Device revision-generator-upgrade"": 1.0, ""risk_hgb6_4|Other ablation"": 0.0, ""risk_hgb6_4|VT/PVC ablation"": 1.0, ""risk_hgb6_5|AF/PVI ablation"": 0.0, ""risk_hgb6_5|Lead/device extraction-removal"": 1.0, ""risk_hgb6_5|Other ablation"": 1.0, ""risk_hgb6_5|VT/PVC ablation"": 1.0}}"
pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__risk_hgb4_m0.00,32.75945965764437,32.796417788517424,31.586229544690877,31.77026365632957,0.1840341116386907,0.49489256780556534,-0.564107423957481,"{""category"": ""risk_hgb4"", ""edges"": [3.1306546896811818, 16.015596179846813, 22.34145381276113, 33.03883179938389, 94.51128562149312], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.5, ""margin"": 0.0, ""min_n"": 120, ""n_weights"": 4, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.5, ""risk_hgb4_0"": 0.30000000000000004, ""risk_hgb4_2"": 0.05, ""risk_hgb4_3"": 1.0}}"
pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__risk_hgb4_x_family_m0.00,32.75951563728669,32.796417788517424,31.575132886955274,31.77026365632957,0.19513076937429857,0.5093342726312081,-0.5382776408047666,"{""category"": ""risk_hgb4_x_family"", ""edges"": [3.1306546896811818, 16.015596179846813, 22.34145381276113, 33.03883179938389, 94.51128562149312], ""first"": ""procedure_family_gamma_positive"", ""global_weight_on_second"": 0.5, ""margin"": 0.0, ""min_n"": 120, ""n_weights"": 22, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.5, ""risk_hgb4_0|Device implant"": 0.30000000000000004, ""risk_hgb4_0|Device revision-generator-upgrade"": 0.35000000000000003, ""risk_hgb4_0|Diagnostic/testing"": 0.0, ""risk_hgb4_0|Other"": 0.35000000000000003, ""risk_hgb4_0|Other ablation"": 0.9500000000000001, ""risk_hgb4_1|AF/PVI ablation"": 0.4, ""risk_hgb4_1|Device implant"": 0.8, ""risk_hgb4_1|Device revision-generator-upgrade"": 0.0, ""risk_hgb4_1|Diagnostic/testing"": 0.0, ""risk_hgb4_2|AF/PVI ablation"": 0.05, ""risk_hgb4_2|Device implant"": 0.0, ""risk_hgb4_2|Device revision-generator-upgrade"": 0.0, ""risk_hgb4_2|Diagnostic/testing"": 1.0, ""risk_hgb4_2|Other ablation"": 1.0, ""risk_hgb4_2|VT/PVC ablation"": 0.0, ""risk_hgb4_3|AF/PVI ablation"": 1.0, ""risk_hgb4_3|Device implant"": 0.0, ""risk_hgb4_3|Device revision-generator-upgrade"": 0.0, ""risk_hgb4_3|Lead/device extraction-removal"": 0.15000000000000002, ""risk_hgb4_3|Other ablation"": 1.0, ""risk_hgb4_3|VT/PVC ablation"": 0.75}}"
