variant,train_oof_mae,final_train_oof_mae,heldout_mae,final_heldout_mae,heldout_gain_vs_final,improved_rate_vs_final,mean_prediction_shift_vs_final,meta_json
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_m0.02,32.715785990232,32.796417788517424,31.556624716712225,31.77026365632957,0.2136389396173465,0.4906657273687918,-0.769070873831468,"{""category"": ""delta_hgb4_proc6"", ""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.02, ""min_n"": 80, ""n_weights"": 4, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_m0.00,32.71875883505536,32.796417788517424,31.559883676126745,31.77026365632957,0.21037998020282733,0.4903134906657274,-0.697281627053905,"{""category"": ""delta_hgb4_proc6"", ""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.0, ""min_n"": 80, ""n_weights"": 7, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_2"": 0.7000000000000001, ""delta_hgb4_proc6_3"": 0.65, ""delta_hgb4_proc6_4"": 0.15000000000000002, ""delta_hgb4_proc6_5"": 0.0}}"
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_m0.05,32.720804835216946,32.796417788517424,31.556782159400036,31.77026365632957,0.2134814969295339,0.49489256780556534,-0.7866280825935484,"{""category"": ""delta_hgb4_proc6"", ""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.05, ""min_n"": 80, ""n_weights"": 3, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_5"": 0.0}}"
refine_selector__delta_hgb4_proc6_m0.05,32.72176325329603,32.796417788517424,31.561288328219025,31.77026365632957,0.20897532811054012,0.48185980979218035,-0.789129805211145,"{""candidates"": [""procedure_family_gamma_positive"", ""family_cap_gamma"", ""risk_abs_hgb4_x_family_cap_gamma"", ""risk_abs_et3_x_family_cap_gamma"", ""signed_resid_hgb8_x_family_cap_gamma"", ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__disagree_hgb4_x_family_m0.05""], ""category"": ""delta_hgb4_proc6"", ""choices"": {""__GLOBAL__"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""delta_hgb4_proc6_0"": ""signed_resid_hgb8_x_family_cap_gamma""}, ""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""global_best"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_scores"": {""family_cap_gamma"": 32.75711007822889, ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"": 32.75183162527293, ""pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__disagree_hgb4_x_family_m0.05"": 32.76456417150681, ""procedure_family_gamma_positive"": 32.76927961993881, ""risk_abs_et3_x_family_cap_gamma"": 32.762548179770626, ""risk_abs_hgb4_x_family_cap_gamma"": 32.80034430755156, ""signed_resid_hgb8_x_family_cap_gamma"": 32.77527582224163}, ""margin"": 0.05, ""min_n"": 100, ""n_choices"": 2, ""selection"": ""strict second-level GroupKFold candidate selector""}"
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc5_m0.02,32.72574296317144,32.796417788517424,31.560379409772363,31.77026365632957,0.20988424655720353,0.4874955970412117,-0.7881932378647893,"{""category"": ""delta_hgb4_proc5"", ""edges"": [-16.74457655240093, -1.015654798413834, -0.2001472152542504, 0.0, 0.4746333235105629, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.02, ""min_n"": 80, ""n_weights"": 3, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc5_0"": 1.0, ""delta_hgb4_proc5_4"": 0.0}}"
refine_selector__delta_hgb4_proc6_m0.00,32.72744026423406,32.796417788517424,31.573742263008644,31.77026365632957,0.19652139332092405,0.437125748502994,-0.6978514571672098,"{""candidates"": [""procedure_family_gamma_positive"", ""family_cap_gamma"", ""risk_abs_hgb4_x_family_cap_gamma"", ""risk_abs_et3_x_family_cap_gamma"", ""signed_resid_hgb8_x_family_cap_gamma"", ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__disagree_hgb4_x_family_m0.05""], ""category"": ""delta_hgb4_proc6"", ""choices"": {""__GLOBAL__"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""delta_hgb4_proc6_0"": ""signed_resid_hgb8_x_family_cap_gamma"", ""delta_hgb4_proc6_1"": ""risk_abs_et3_x_family_cap_gamma"", ""delta_hgb4_proc6_2"": ""signed_resid_hgb8_x_family_cap_gamma"", ""delta_hgb4_proc6_3"": ""signed_resid_hgb8_x_family_cap_gamma"", ""delta_hgb4_proc6_4"": ""procedure_family_gamma_positive""}, ""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""global_best"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_scores"": {""family_cap_gamma"": 32.75711007822889, ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"": 32.75183162527293, ""pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__disagree_hgb4_x_family_m0.05"": 32.76456417150681, ""procedure_family_gamma_positive"": 32.76927961993881, ""risk_abs_et3_x_family_cap_gamma"": 32.762548179770626, ""risk_abs_hgb4_x_family_cap_gamma"": 32.80034430755156, ""signed_resid_hgb8_x_family_cap_gamma"": 32.77527582224163}, ""margin"": 0.0, ""min_n"": 100, ""n_choices"": 6, ""selection"": ""strict second-level GroupKFold candidate selector""}"
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc4_m0.02,32.72760621902634,32.796417788517424,31.566151464914363,31.77026365632957,0.2041121914152045,0.5216625572384642,-0.785130026319654,"{""category"": ""delta_hgb4_proc4"", ""edges"": [-16.74457655240093, -0.747099546624419, -0.030455343247066224, 0.2776086975031937, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.02, ""min_n"": 80, ""n_weights"": 3, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc4_0"": 0.9500000000000001, ""delta_hgb4_proc4_3"": 0.0}}"
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc5_m0.05,32.728071249076905,32.796417788517424,31.560379409772363,31.77026365632957,0.20988424655720353,0.4874955970412117,-0.7881932378647893,"{""category"": ""delta_hgb4_proc5"", ""edges"": [-16.74457655240093, -1.015654798413834, -0.2001472152542504, 0.0, 0.4746333235105629, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.05, ""min_n"": 80, ""n_weights"": 3, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc5_0"": 1.0, ""delta_hgb4_proc5_4"": 0.0}}"
refine_selector__delta_hgb4_proc6_m0.02,32.730462486033865,32.796417788517424,31.57973441554732,31.77026365632957,0.19052924078224814,0.45966889749911943,-0.6931831958368508,"{""candidates"": [""procedure_family_gamma_positive"", ""family_cap_gamma"", ""risk_abs_hgb4_x_family_cap_gamma"", ""risk_abs_et3_x_family_cap_gamma"", ""signed_resid_hgb8_x_family_cap_gamma"", ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__disagree_hgb4_x_family_m0.05""], ""category"": ""delta_hgb4_proc6"", ""choices"": {""__GLOBAL__"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""delta_hgb4_proc6_0"": ""signed_resid_hgb8_x_family_cap_gamma"", ""delta_hgb4_proc6_1"": ""risk_abs_et3_x_family_cap_gamma"", ""delta_hgb4_proc6_3"": ""signed_resid_hgb8_x_family_cap_gamma""}, ""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""global_best"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_scores"": {""family_cap_gamma"": 32.75711007822889, ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"": 32.75183162527293, ""pairblend_proc__signed_resid_hgb8_x_family_cap_gamma__disagree_hgb4_x_family_m0.05"": 32.76456417150681, ""procedure_family_gamma_positive"": 32.76927961993881, ""risk_abs_et3_x_family_cap_gamma"": 32.762548179770626, ""risk_abs_hgb4_x_family_cap_gamma"": 32.80034430755156, ""signed_resid_hgb8_x_family_cap_gamma"": 32.77527582224163}, ""margin"": 0.02, ""min_n"": 100, ""n_choices"": 4, ""selection"": ""strict second-level GroupKFold candidate selector""}"
refine_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc4_m0.00,32.73139018714325,32.796417788517424,31.572584423618988,31.77026365632957,0.19767923271058233,0.5195491370200775,-0.744971599575429,"{""category"": ""delta_hgb4_proc4"", ""edges"": [-16.74457655240093, -0.747099546624419, -0.030455343247066224, 0.2776086975031937, 16.215586197019462], ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.35000000000000003, ""margin"": 0.0, ""min_n"": 80, ""n_weights"": 5, ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""strict second-level GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.35000000000000003, ""delta_hgb4_proc4_0"": 0.9500000000000001, ""delta_hgb4_proc4_1"": 0.15000000000000002, ""delta_hgb4_proc4_2"": 0.7000000000000001, ""delta_hgb4_proc4_3"": 0.0}}"
