variant,train_oof_mae,final_train_oof_mae,heldout_mae,final_heldout_mae,heldout_gain_vs_final,improved_rate_vs_final,mean_prediction_shift_vs_final,meta_json
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n140_m0.02,32.71568392026544,32.796417788517424,31.556418073067334,31.77026365632957,0.21384558326223382,0.48890454385346954,-0.7679246491811969,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.02, ""min_n"": 140, ""n_weights"": 4, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n80_m0.02,32.71568392026544,32.796417788517424,31.556418073067334,31.77026365632957,0.21384558326223382,0.48890454385346954,-0.7679246491811969,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.02, ""min_n"": 80, ""n_weights"": 4, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n100_m0.02,32.71568392026544,32.796417788517424,31.556418073067334,31.77026365632957,0.21384558326223382,0.48890454385346954,-0.7679246491811969,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.02, ""min_n"": 100, ""n_weights"": 4, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n100_m0.01,32.717549368012385,32.796417788517424,31.556418073067334,31.77026365632957,0.21384558326223382,0.48890454385346954,-0.7679246491811969,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.01, ""min_n"": 100, ""n_weights"": 4, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n80_m0.01,32.717549368012385,32.796417788517424,31.556418073067334,31.77026365632957,0.21384558326223382,0.48890454385346954,-0.7679246491811969,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.01, ""min_n"": 80, ""n_weights"": 4, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n140_m0.01,32.717549368012385,32.796417788517424,31.556418073067334,31.77026365632957,0.21384558326223382,0.48890454385346954,-0.7679246491811969,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.01, ""min_n"": 140, ""n_weights"": 4, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n100_m0.00,32.71836077950108,32.796417788517424,31.559968059862783,31.77026365632957,0.21029559646678403,0.48996125396266293,-0.6968797415054345,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.0, ""min_n"": 100, ""n_weights"": 7, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_2"": 0.7000000000000001, ""delta_hgb4_proc6_3"": 0.66, ""delta_hgb4_proc6_4"": 0.16, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n140_m0.00,32.71836077950108,32.796417788517424,31.559968059862783,31.77026365632957,0.21029559646678403,0.48996125396266293,-0.6968797415054345,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.0, ""min_n"": 140, ""n_weights"": 7, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_2"": 0.7000000000000001, ""delta_hgb4_proc6_3"": 0.66, ""delta_hgb4_proc6_4"": 0.16, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc6_none_n80_m0.00,32.71836077950108,32.796417788517424,31.559968059862783,31.77026365632957,0.21029559646678403,0.48996125396266293,-0.6968797415054345,"{""edges"": [-16.74457655240093, -1.2491905736738644, -0.3816439051781799, -0.030455343247066224, 0.07514041315162956, 0.6576437134440525, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 6, ""margin"": 0.0, ""min_n"": 80, ""n_weights"": 7, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc6_0"": 1.0, ""delta_hgb4_proc6_1"": 0.0, ""delta_hgb4_proc6_2"": 0.7000000000000001, ""delta_hgb4_proc6_3"": 0.66, ""delta_hgb4_proc6_4"": 0.16, ""delta_hgb4_proc6_5"": 0.0}}"
topref_pair__pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00__signed_resid_hgb8_x_family_cap_gamma__delta_hgb4_proc8_none_n140_m0.00,32.71878854216659,32.796417788517424,31.579543593976133,31.77026365632957,0.19072006235343616,0.5019373018668545,-0.6890216248234958,"{""edges"": [-16.74457655240093, -1.6222314298825715, -0.747099546624419, -0.26125072313887365, -0.030455343247066224, 0.012170127211824422, 0.2776086975031937, 0.9739221131949627, 16.215586197019462], ""extra"": ""none"", ""first"": ""pairblend_proc__risk_abs_et3_x_family_cap_gamma__risk_hgb4_m0.00"", ""global_weight_on_second"": 0.37, ""grid_step"": 0.01, ""k"": 8, ""margin"": 0.0, ""min_n"": 140, ""n_weights"": 9, ""score"": ""delta_hgb4_proc"", ""second"": ""signed_resid_hgb8_x_family_cap_gamma"", ""selection"": ""targeted strict GroupKFold pair blend"", ""weights"": {""__GLOBAL__"": 0.37, ""delta_hgb4_proc8_0"": 1.0, ""delta_hgb4_proc8_1"": 0.14, ""delta_hgb4_proc8_2"": 0.0, ""delta_hgb4_proc8_3"": 0.7000000000000001, ""delta_hgb4_proc8_4"": 0.65, ""delta_hgb4_proc8_5"": 0.98, ""delta_hgb4_proc8_6"": 0.0, ""delta_hgb4_proc8_7"": 0.0}}"
