variant,train_oof_mae,final_train_oof_mae,heldout_mae,final_heldout_mae,heldout_gain_vs_final,improved_rate_vs_final,mean_prediction_shift_vs_final,meta_json
crossfit_residual_hgb,32.72445975338648,32.796417788517424,31.737201674290997,31.77026365632957,0.03306198203857191,0.4984149348362099,-0.06348406761654013,"{""alpha"": 0.5000000000000009, ""model"": ""hgb"", ""resid_oof_corr_target"": 0.07730064934120169}"
family_cap_gamma,32.75711007822889,32.796417788517424,31.628807776841686,31.77026365632957,0.14145587948788804,0.5220147939415287,-0.7220186638972933,"{""min_n"": 80, ""n_params"": 10, ""params"": {""AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 1.7000000000000002}, ""Device implant"": {""cap"": 4.0, ""gamma"": 0.9500000000000001}, ""Device revision-generator-upgrade"": {""cap"": 20.0, ""gamma"": 0.8}, ""Diagnostic/testing"": {""cap"": 8.0, ""gamma"": 0.4}, ""LAA closure"": {""cap"": 4.0, ""gamma"": 1.4000000000000001}, ""Lead/device extraction-removal"": {""cap"": 4.0, ""gamma"": 2.5}, ""Other"": {""cap"": 4.0, ""gamma"": 0.5}, ""Other ablation"": {""cap"": 4.0, ""gamma"": 1.4500000000000002}, ""VT/PVC ablation"": {""cap"": 10.0, ""gamma"": 2.5}, ""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}}}"
nested_gain_vs_base3_x_family_cap_gamma,32.75862121914482,32.796417788517424,31.666389836670625,31.77026365632957,0.10387381965894109,0.4269108841141247,-0.791654330274215,"{""edges"": [-3.3333745006594837, -0.022596623793222238, 0.21365167298803325, 4.0071164500592245], ""k"": 3, ""kind"": ""extra_trees"", ""min_n"": 120, ""params"": {""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}, ""gain_vs_base3_0|AF/PVI ablation"": {""cap"": 12.0, ""gamma"": 0.15000000000000002}, ""gain_vs_base3_0|Device implant"": {""cap"": 4.0, ""gamma"": 1.0}, ""gain_vs_base3_0|Device revision-generator-upgrade"": {""cap"": 20.0, ""gamma"": 0.4}, ""gain_vs_base3_0|Diagnostic/testing"": {""cap"": 8.0, ""gamma"": 0.05}, ""gain_vs_base3_0|Other"": {""cap"": 4.0, ""gamma"": 0.25}, ""gain_vs_base3_0|Other ablation"": {""cap"": 6.0, ""gamma"": 1.0}, ""gain_vs_base3_0|VT/PVC ablation"": {""cap"": 8.0, ""gamma"": 2.5}, ""gain_vs_base3_1|AF/PVI ablation"": {""cap"": 10.0, ""gamma"": 1.55}, ""gain_vs_base3_1|Device implant"": {""cap"": 4.0, ""gamma"": 0.45}, ""gain_vs_base3_1|Device revision-generator-upgrade"": {""cap"": 10.0, ""gamma"": 0.9}, ""gain_vs_base3_1|Diagnostic/testing"": {""cap"": 4.0, ""gamma"": 0.2}, ""gain_vs_base3_1|Other"": {""cap"": 4.0, ""gamma"": 0.0}, ""gain_vs_base3_1|Other ablation"": {""cap"": 4.0, ""gamma"": 1.3}, ""gain_vs_base3_1|VT/PVC ablation"": {""cap"": 10.0, ""gamma"": 2.5}, ""gain_vs_base3_2|AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 2.0500000000000003}, ""gain_vs_base3_2|Device implant"": {""cap"": 15.0, ""gamma"": 0.9}, ""gain_vs_base3_2|Device revision-generator-upgrade"": {""cap"": 4.0, ""gamma"": 1.55}, ""gain_vs_base3_2|Diagnostic/testing"": {""cap"": 10.0, ""gamma"": 1.5}, ""gain_vs_base3_2|Lead/device extraction-removal"": {""cap"": 4.0, ""gamma"": 2.5}, ""gain_vs_base3_2|Other ablation"": {""cap"": 4.0, ""gamma"": 1.75}, ""gain_vs_base3_2|VT/PVC ablation"": {""cap"": 10.0, ""gamma"": 2.5}}, ""score_full_oof_corr_target"": 0.08196754152318272, ""score_name"": ""gain_vs_base3"", ""score_oof_corr_target"": 0.0773248587441097}"
nested_risk_abs3_x_family_cap_gamma,32.77196663128073,32.796417788517424,31.60745249352906,31.77026365632957,0.16281116280050395,0.4885523071504051,-0.9352548136260985,"{""edges"": [6.408825357385612, 22.839598857868406, 37.076594301952774, 112.97864796690767], ""k"": 3, ""kind"": ""extra_trees"", ""min_n"": 120, ""params"": {""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}, ""risk_abs3_0|AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 0.55}, ""risk_abs3_0|Device implant"": {""cap"": 4.0, ""gamma"": 0.9500000000000001}, ""risk_abs3_0|Device revision-generator-upgrade"": {""cap"": 12.0, ""gamma"": 0.75}, ""risk_abs3_0|Diagnostic/testing"": {""cap"": 4.0, ""gamma"": 0.15000000000000002}, ""risk_abs3_0|LAA closure"": {""cap"": 10.0, ""gamma"": 1.0}, ""risk_abs3_0|Other"": {""cap"": 4.0, ""gamma"": 0.5}, ""risk_abs3_0|Other ablation"": {""cap"": 8.0, ""gamma"": 1.05}, ""risk_abs3_1|AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 2.15}, ""risk_abs3_1|Device implant"": {""cap"": 15.0, ""gamma"": 0.8500000000000001}, ""risk_abs3_1|Device revision-generator-upgrade"": {""cap"": 4.0, ""gamma"": 1.75}, ""risk_abs3_1|Diagnostic/testing"": {""cap"": 8.0, ""gamma"": 0.05}, ""risk_abs3_1|Other ablation"": {""cap"": 4.0, ""gamma"": 1.4000000000000001}, ""risk_abs3_1|VT/PVC ablation"": {""cap"": 15.0, ""gamma"": 2.5}, ""risk_abs3_2|AF/PVI ablation"": {""cap"": 15.0, ""gamma"": 2.25}, ""risk_abs3_2|Device implant"": {""cap"": 6.0, ""gamma"": 0.8500000000000001}, ""risk_abs3_2|Device revision-generator-upgrade"": {""cap"": 15.0, ""gamma"": 0.15000000000000002}, ""risk_abs3_2|Diagnostic/testing"": {""cap"": 15.0, ""gamma"": 2.5}, ""risk_abs3_2|Lead/device extraction-removal"": {""cap"": 4.0, ""gamma"": 2.5}, ""risk_abs3_2|Other ablation"": {""cap"": 4.0, ""gamma"": 1.8}, ""risk_abs3_2|VT/PVC ablation"": {""cap"": 10.0, ""gamma"": 2.5}}, ""score_full_oof_corr_target"": 0.4513893525626647, ""score_name"": ""risk_abs3"", ""score_oof_corr_target"": 0.45625903088206726}"
family_x_note_count_cap_gamma,32.77201699631257,32.796417788517424,31.64992230591239,31.77026365632957,0.12034135041717918,0.4857344135258894,-0.6638443703604405,"{""min_n"": 100, ""n_params"": 18, ""params"": {""AF/PVI ablation|0"": {""cap"": 4.0, ""gamma"": 0.0}, ""AF/PVI ablation|13-23"": {""cap"": 8.0, ""gamma"": 1.75}, ""AF/PVI ablation|24 cap"": {""cap"": 15.0, ""gamma"": 1.75}, ""Device implant|0"": {""cap"": 4.0, ""gamma"": 2.4000000000000004}, ""Device implant|13-23"": {""cap"": 6.0, ""gamma"": 1.2000000000000002}, ""Device implant|24 cap"": {""cap"": 6.0, ""gamma"": 0.75}, ""Device revision-generator-upgrade|0"": {""cap"": 4.0, ""gamma"": 0.0}, ""Device revision-generator-upgrade|24 cap"": {""cap"": 20.0, ""gamma"": 0.9}, ""Diagnostic/testing|13-23"": {""cap"": 10.0, ""gamma"": 1.1}, ""Diagnostic/testing|24 cap"": {""cap"": 8.0, ""gamma"": 0.1}, ""LAA closure|24 cap"": {""cap"": 4.0, ""gamma"": 1.35}, ""Lead/device extraction-removal|24 cap"": {""cap"": 4.0, ""gamma"": 2.5}, ""Other ablation|0"": {""cap"": 8.0, ""gamma"": 1.9500000000000002}, ""Other ablation|13-23"": {""cap"": 8.0, ""gamma"": 1.05}, ""Other ablation|24 cap"": {""cap"": 4.0, ""gamma"": 1.4000000000000001}, ""Other|24 cap"": {""cap"": 4.0, ""gamma"": 0.6000000000000001}, ""VT/PVC ablation|24 cap"": {""cap"": 10.0, ""gamma"": 2.5}, ""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}}}"
crossfit_residual_extra_trees,32.77868647510611,32.796417788517424,31.746268361111106,31.77026365632957,0.023995295218467414,0.506164142303628,0.8457408115305254,"{""alpha"": 0.15000000000000058, ""model"": ""extra_trees"", ""resid_oof_corr_target"": 0.0904395965273309}"
crossfit_residual_ridge,32.79193806314288,32.796417788517424,31.766475604918977,31.77026365632957,0.003788051410589467,0.4882000704473406,0.5802776049497894,"{""alpha"": 0.10000000000000053, ""model"": ""ridge"", ""resid_oof_corr_target"": 0.09303466704929139}"
nested_risk_abs3_cap_gamma,32.79208432902582,32.796417788517424,31.71188859224117,31.77026365632957,0.058375064088395864,0.5044029587883058,-0.43376932575598404,"{""edges"": [6.408825357385612, 22.839598857868406, 37.076594301952774, 112.97864796690767], ""k"": 3, ""kind"": ""extra_trees"", ""min_n"": 80, ""params"": {""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}, ""risk_abs3_0"": {""cap"": 4.0, ""gamma"": 0.8}, ""risk_abs3_1"": {""cap"": 20.0, ""gamma"": 1.3}, ""risk_abs3_2"": {""cap"": 6.0, ""gamma"": 1.85}}, ""score_full_oof_corr_target"": 0.4513893525626647, ""score_name"": ""risk_abs3"", ""score_oof_corr_target"": 0.45625903088206726}"
nested_risk_abs3_x_pls_gap_cap_gamma,32.79231335053882,32.796417788517424,31.713634521870123,31.77026365632957,0.05662913445944342,0.4723494188094399,-1.0738650006751231,"{""edges"": [6.408825357385612, 22.839598857868406, 37.076594301952774, 112.97864796690767], ""k"": 3, ""kind"": ""extra_trees"", ""min_n"": 100, ""params"": {""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}, ""risk_abs3_0|pls_higher"": {""cap"": 4.0, ""gamma"": 1.0}, ""risk_abs3_0|pls_lower"": {""cap"": 4.0, ""gamma"": 0.2}, ""risk_abs3_0|pls_near"": {""cap"": 8.0, ""gamma"": 0.8500000000000001}, ""risk_abs3_1|pls_higher"": {""cap"": 15.0, ""gamma"": 1.4500000000000002}, ""risk_abs3_1|pls_lower"": {""cap"": 20.0, ""gamma"": 0.45}, ""risk_abs3_1|pls_much_higher"": {""cap"": 10.0, ""gamma"": 1.9000000000000001}, ""risk_abs3_1|pls_near"": {""cap"": 10.0, ""gamma"": 1.55}, ""risk_abs3_2|pls_higher"": {""cap"": 6.0, ""gamma"": 2.5}, ""risk_abs3_2|pls_lower"": {""cap"": 4.0, ""gamma"": 2.0}, ""risk_abs3_2|pls_much_higher"": {""cap"": 15.0, ""gamma"": 2.35}, ""risk_abs3_2|pls_near"": {""cap"": 15.0, ""gamma"": 1.25}}, ""score_full_oof_corr_target"": 0.4513893525626647, ""score_name"": ""risk_abs3"", ""score_oof_corr_target"": 0.45625903088206726}"
nested_gain_vs_base3_x_family_x_pls_gap_cap_gamma,32.792462424711665,32.796417788517424,31.702196352856355,31.77026365632957,0.0680673034732128,0.30010567101091934,-0.7640801456083984,"{""edges"": [-3.3333745006594837, -0.022596623793222238, 0.21365167298803325, 4.0071164500592245], ""k"": 3, ""kind"": ""extra_trees"", ""min_n"": 140, ""params"": {""__GLOBAL__"": {""cap"": 12.0, ""gamma"": 1.0}, ""gain_vs_base3_0|AF/PVI ablation|pls_higher"": {""cap"": 4.0, ""gamma"": 0.9500000000000001}, ""gain_vs_base3_0|AF/PVI ablation|pls_lower"": {""cap"": 12.0, ""gamma"": 1.5}, ""gain_vs_base3_0|AF/PVI ablation|pls_near"": {""cap"": 4.0, ""gamma"": 0.0}, ""gain_vs_base3_0|Device implant|pls_higher"": {""cap"": 4.0, ""gamma"": 1.1}, ""gain_vs_base3_0|Device implant|pls_lower"": {""cap"": 12.0, ""gamma"": 0.45}, ""gain_vs_base3_0|Device implant|pls_near"": {""cap"": 4.0, ""gamma"": 2.5}, ""gain_vs_base3_0|Device revision-generator-upgrade|pls_lower"": {""cap"": 4.0, ""gamma"": 0.0}, ""gain_vs_base3_0|Device revision-generator-upgrade|pls_near"": {""cap"": 4.0, ""gamma"": 1.2000000000000002}, ""gain_vs_base3_0|Other ablation|pls_near"": {""cap"": 4.0, ""gamma"": 0.0}, ""gain_vs_base3_1|AF/PVI ablation|pls_higher"": {""cap"": 4.0, ""gamma"": 2.1}, ""gain_vs_base3_1|AF/PVI ablation|pls_near"": {""cap"": 4.0, ""gamma"": 0.8500000000000001}, ""gain_vs_base3_1|Device implant|pls_higher"": {""cap"": 4.0, ""gamma"": 1.1500000000000001}, ""gain_vs_base3_1|Device implant|pls_lower"": {""cap"": 4.0, ""gamma"": 0.0}, ""gain_vs_base3_1|Device implant|pls_near"": {""cap"": 10.0, ""gamma"": 0.45}, ""gain_vs_base3_1|Device revision-generator-upgrade|pls_near"": {""cap"": 6.0, ""gamma"": 1.1}, ""gain_vs_base3_1|Other ablation|pls_near"": {""cap"": 4.0, ""gamma"": 1.4500000000000002}, ""gain_vs_base3_2|AF/PVI ablation|pls_higher"": {""cap"": 15.0, ""gamma"": 2.1}, ""gain_vs_base3_2|AF/PVI ablation|pls_near"": {""cap"": 10.0, ""gamma"": 2.0}, ""gain_vs_base3_2|Device implant|pls_higher"": {""cap"": 12.0, ""gamma"": 0.8500000000000001}, ""gain_vs_base3_2|Device implant|pls_near"": {""cap"": 4.0, ""gamma"": 1.25}, ""gain_vs_base3_2|Device revision-generator-upgrade|pls_higher"": {""cap"": 4.0, ""gamma"": 0.65}, ""gain_vs_base3_2|Device revision-generator-upgrade|pls_near"": {""cap"": 4.0, ""gamma"": 2.0}, ""gain_vs_base3_2|Other ablation|pls_higher"": {""cap"": 4.0, ""gamma"": 2.45}, ""gain_vs_base3_2|Other ablation|pls_near"": {""cap"": 4.0, ""gamma"": 1.55}, ""gain_vs_base3_2|VT/PVC ablation|pls_higher"": {""cap"": 12.0, ""gamma"": 2.5}}, ""score_full_oof_corr_target"": 0.08196754152318272, ""score_name"": ""gain_vs_base3"", ""score_oof_corr_target"": 0.0773248587441097}"
