field,exact,within1,mae
redo_prior_ablation,0.6136363636363636,0.9545454545454546,0.45454545454545453
vt_substrate,0.4772727272727273,0.9090909090909091,0.6818181818181818
af_type,0.4090909090909091,0.8181818181818182,0.8181818181818182
device_complexity,0.3181818181818182,0.9090909090909091,0.7727272727272727
congenital,0.8863636363636364,0.9545454545454546,0.1590909090909091
access_difficulty,0.6590909090909091,0.9318181818181818,0.4090909090909091
anticoag_thrombus,0.5227272727272727,0.6363636363636364,1.0454545454545454
lv_dysfunction,0.5909090909090909,0.8181818181818182,0.5909090909090909
comorbid_burden,0.38636363636363635,0.8863636363636364,0.7272727272727273
concurrent_procedures,0.5454545454545454,0.9772727272727273,0.4772727272727273
expected_complexity,0.5,0.9090909090909091,0.5909090909090909
